published_at,cve,severity,score,status,cwe,references,description
2026-09-24T19:17:11.82Z,CVE-2026-13016,CRITICAL,9.3,Received,,1,"ServiceNow has remediated a SQL injection vulnerability that was identified in the ServiceNow AI Platform. This vulnerability could enable an unauthenticated user, in certain circumstances, to execute arbitrary SQL statements against the instance's underlying database and gain access to, or modify,…"
2026-09-24T19:17:12.917Z,CVE-2026-13248,HIGH,8.8,Received,CWE-73; CWE-78; CWE-434,1,"An Authenticated Remote Code Execution via Arbitrary File Write in the Intermec Fingerprint Command Interface vulnerability in the web management interface in Honeywell PD45 Industrial Printer version F10.19.010040, allows an authenticated user with access to the admin or itadmin account to submit…"
2026-09-24T19:17:13.08Z,CVE-2026-13249,CRITICAL,9.8,Received,CWE-78; CWE-306; CWE-434,1,"An unauthenticated Remote Code Execution via Arbitrary File Upload vulnerability in the web management interface in Honeywell PD45 Industrial Printer version F10.19.010040, allows upload of attacker controlled files without requiring authentication. An attacker could potentially exploit this vulner…"
2026-09-24T19:17:13.43Z,CVE-2026-48070,HIGH,7.1,Deferred,CWE-22,3,"Docmost is open-source collaborative wiki and documentation software. Prior to 0.80.1, authenticated users can store attacker-controlled avatarUrl values that are later reused by avatar cleanup without confinement to the intended directory on local-storage deployments. A low-privileged user can cau…"
2026-09-24T19:17:13.597Z,CVE-2026-48072,MEDIUM,5.3,Deferred,CWE-22,4,"Docmost is open-source collaborative wiki and documentation software. Prior to 0.80.1, the public avatar and logo image endpoint accepts attacker-controlled fileName path segments and resolves them against local storage without confinement to the intended image directory. An unauthenticated attacke…"
2026-09-24T19:17:13.767Z,CVE-2026-48073,MEDIUM,4.3,Deferred,CWE-639,3,"Docmost is open-source collaborative wiki and documentation software. From 0.70.0 until 0.80.1, a low-privileged authenticated user who can edit an exportable page can embed a forged attachmentId that belongs to a restricted page in the same space. Exporting the attacker-controlled page with includ…"
2026-09-24T19:17:13.93Z,CVE-2026-52850,MEDIUM,4.3,Deferred,CWE-639; CWE-862,3,"Docmost is open-source collaborative wiki and documentation software. Prior to 0.90.1, an authenticated workspace member who does not belong to a private space can call the transclusion / sync-block lookup API with a known sourcePageId and transclusionId pair because the lookup does not enforce pri…"
2026-09-24T19:17:14.1Z,CVE-2026-52853,MEDIUM,5.2,Deferred,CWE-269,4,"Docmost is open-source collaborative wiki and documentation software. Prior to 0.90.1, an authenticated workspace ADMIN can use the workspace invitation flow to invite an external email address with the OWNER role because the role ceiling does not prevent ADMIN users from granting privileges above…"
2026-09-24T19:17:14.29Z,CVE-2026-56792,MEDIUM,4.4,Received,CWE-287,1,"Dell Rugged Control Center (RCC), versions prior to 5.2.206, contain an Improper Authorization vulnerability. A low privileged attacker with local access could potentially exploit this vulnerability, leading to Elevation of Privileges."
2026-09-24T19:17:14.63Z,CVE-2026-57440,HIGH,7.5,Received,CWE-79; CWE-80,2,"The EmbedVideo Extension is a MediaWiki extension which adds a parser function called #ev and various parser tags for embedding video clips from various video sharing services. Prior to 4.1.0, with $wgEmbedVideoRequireConsent disabled (not the default), the urls for videos are passed into an iframe…"
