published_at,cve,severity,score,status,cwe,references,description
2026-09-25T07:16:53.54Z,CVE-2026-14281,CRITICAL,9.8,Received,CWE-269,14,"The Automation Web Platform – Notifications and OTP for WooCommerce, Advanced Country Code plugin for WordPress is vulnerable to Privilege Escalation in all versions up to, and including, 4.8.6. This is due to missing permission enforcement on the publicly accessible REST route `POST /wp-json/wawp/…"
2026-09-25T07:16:53.857Z,CVE-2026-19775,MEDIUM,4.3,Received,CWE-862,6,"The OpenStation — Desktop Windows, Dock & Virtual Desktops for WP Admin plugin for WordPress is vulnerable to authorization bypass in all versions up to, and including, 1.1.7. This is due to the plugin not properly verifying that a user is authorized to perform an action. This makes it possible for…"
2026-09-25T07:16:54.01Z,CVE-2026-62062,HIGH,8.8,Received,CWE-352,1,Cross-Site Request Forgery (CSRF) vulnerability in Elementor Website Builder allows Cross Site Request Forgery. This issue affects Elementor Website Builder: from n/a through 4.3.1.
2026-09-25T07:16:54.17Z,CVE-2026-75553,LOW,2.4,Received,CWE-321,3,"Smartphone application Tohoku Electric Power ""Yorisou e Net"" uses a hard-coded cryptographic key, which may allow an attacker to retrieve a hard-coded cryptographic key from the affected product."
2026-09-25T07:16:54.327Z,CVE-2026-78393,,,Received,,1,"The Link Library WordPress plugin before 7.9.6 does not properly escape some parameters before outputting them in the addresses of links it generates on its front-end directory pages, leading to Reflected Cross-Site Scripting which could be used against any visitor, including logged-in administrato…"
2026-09-25T07:16:54.437Z,CVE-2026-78394,,,Received,,1,"The Link Library WordPress plugin before 7.9.6 does not sanitize a user-supplied destination folder before writing a generated image to disk, allowing users with the Contributor role and above to create directories and write or overwrite image files anywhere the web server can write, including outs…"
2026-09-25T07:16:54.53Z,CVE-2026-78397,,,Received,,1,"The Link Library WordPress plugin before 7.9.6 does not validate the destination of a user-supplied URL before falling back to an unprotected fetch when its safe request is rejected, allowing unauthenticated visitors to make the site issue requests to hosts on its internal network and to learn from…"
2026-09-25T07:16:54.747Z,CVE-2026-83591,HIGH,7.2,Received,CWE-79,8,"The AMP for WP – Accelerated Mobile Pages plugin for WordPress is vulnerable to Stored Cross-Site Scripting via Comment Content via Regex Transformation in all versions up to, and including, 1.1.16 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticate…"
2026-09-25T07:16:54.89Z,CVE-2026-84279,HIGH,7.2,Received,CWE-79,2,"The Fancy Product Designer plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the 'output_format' parameter in all versions up to, and including, 6.5.2 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbit…"
2026-09-25T07:16:55.013Z,CVE-2026-84281,HIGH,7.2,Received,CWE-79,2,"The Fancy Product Designer plugin for WordPress is vulnerable to Stored Cross-Site Scripting via 'productTitle' in '_fpd_data' Order Item Meta in all versions up to, and including, 6.5.2 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers…"
2026-09-25T07:16:55.14Z,CVE-2026-89055,CRITICAL,9.1,Received,CWE-862,7,"The Customer Reviews for WooCommerce plugin for WordPress is vulnerable to authorization bypass in all versions up to, and including, 5.120.0. This is due to the plugin not properly verifying that a user is authorized to perform an action. This makes it possible for unauthenticated attackers to per…"
2026-09-25T07:16:55.337Z,CVE-2026-92212,MEDIUM,6.1,Received,CWE-79,6,"The JetFormBuilder — Dynamic Blocks Form Builder plugin for WordPress is vulnerable to Reflected Cross-Site Scripting via 'jfb_xss' (URL Query Variable) Parameter via Calculated Field in all versions up to, and including, 3.6.5.3 due to insufficient input sanitization and output escaping. This make…"
2026-09-25T07:16:55.473Z,CVE-2026-92746,MEDIUM,6.4,Received,CWE-79,4,"The Gutenverse – WordPress Blocks, Page Builder & Site Editor plugin for WordPress is vulnerable to Stored Cross-Site Scripting via Post Comment Block 'suffixMain' Attribute in all versions up to, and including, 4.0.8 due to insufficient input sanitization and output escaping. This makes it possibl…"
2026-09-25T07:16:55.607Z,CVE-2026-92799,MEDIUM,5.3,Received,CWE-285,9,"The Online Scheduling and Appointment Booking System – Bookly plugin for WordPress is vulnerable to Authorization Bypass via PHP Type Juggling in all versions up to, and including, 28.2. This is due to the `postValidateCustomer()` function using a loose PHP inequality operator (`!=`) to compare the…"
2026-09-25T07:16:55.75Z,CVE-2026-92829,MEDIUM,4.3,Received,CWE-862,9,"The Blog2Social: Social Media Auto Post & Scheduler plugin for WordPress is vulnerable to authorization bypass in all versions up to, and including, 9.1.0. This is due to the plugin not properly verifying that a user is authorized to perform an action. This makes it possible for authenticated attac…"
2026-09-25T07:16:55.89Z,CVE-2026-93303,HIGH,7.2,Received,CWE-79,8,"The HT Contact Form – Drag & Drop Form Builder for WordPress plugin for WordPress is vulnerable to Stored DOM-Based Cross-Site Scripting via 'form_data' Rich Text Field via Draft Save/Resume in all versions up to, and including, 2.10.1 due to insufficient input sanitization and output escaping. Thi…"
2026-09-25T07:16:56.027Z,CVE-2026-93399,CRITICAL,9.1,Received,CWE-639,8,"The Bookly plugin for WordPress is vulnerable to Insecure Direct Object Reference in versions up to, and including, 28.2 via the 'bookly_get_form_id', 'bookly_render_complete', 'bookly_add_to_calendar' and 'bookly_rollback_order' AJAX actions. This is due to the 'bookly_get_form_id' handler blindly…"
2026-09-25T07:16:56.163Z,CVE-2026-93477,MEDIUM,5.9,Received,CWE-915,5,Improperly Controlled Modification of Dynamically-Determined Object Attributes vulnerability in ash-project ash allows a user to set the value of a private action argument on the bulk destroy and bulk update paths. Action arguments declared with public?: false are meant to be set only by trusted se…
2026-09-25T07:16:56.37Z,CVE-2026-93897,MEDIUM,6.4,Received,CWE-79,6,"The GeoDirectory – WP Business Directory Plugin and Classified Listings Directory plugin for WordPress is vulnerable to Stored Cross-Site Scripting via Text-type Custom Field (e.g., 'phone') in all versions up to, and including, 2.8.181 due to insufficient input sanitization and output escaping. Th…"
2026-09-25T07:16:56.5Z,CVE-2026-93899,MEDIUM,6.5,Received,CWE-89,6,"The Better Messages – Chat Rooms, Group Chat, Private Messages & AI Chat Bots plugin for WordPress is vulnerable to generic SQL Injection via 'group_id' Message Meta Parameter in all versions up to, and including, 3.0.4 due to insufficient escaping on the user supplied parameter and lack of suffici…"
2026-09-25T07:16:56.753Z,CVE-2026-94376,MEDIUM,6.4,Received,CWE-79,4,"The Better Messages – Chat Rooms, Group Chat, Private Messages & AI Chat Bots plugin for WordPress is vulnerable to Stored DOM-Based Cross-Site Scripting via User Display Name in all versions up to, and including, 3.0.4 due to insufficient input sanitization and output escaping. This makes it possi…"
2026-09-25T07:16:56.88Z,CVE-2026-96039,HIGH,7.2,Received,CWE-79,7,"The BA Book Everything plugin for WordPress is vulnerable to Stored Cross-Site Scripting via first_name Parameter in all versions up to, and including, 1.8.27 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scr…"
2026-09-25T07:16:57.017Z,CVE-2026-96766,MEDIUM,6.4,Received,CWE-79,6,"The GeoDirectory – WP Business Directory Plugin and Classified Listings Directory plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the 'business_hours' parameter in all versions up to, and including, 2.8.183 due to insufficient input sanitization and output escaping. This makes…"
2026-09-25T07:16:57.147Z,CVE-2026-97846,MEDIUM,6.8,Received,CWE-287,2,Keycloak provides a feature called mTLS holder-of-key binding which ensures that a token can only be used by the client that originally requested it by binding it to their digital certificate. A flaw was discovered where the new Standard Token Exchange V2 feature does not check for this certificate…
