published_at,cve,severity,score,status,cwe,references,description
2026-09-25T22:17:09.027Z,CVE-2026-100381,MEDIUM,5.3,Received,CWE-79,2,"Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerability in Wikimedia Foundation Mediawiki - UploadWizard Extension allows Cross-Site Scripting (XSS). This issue affects Mediawiki - UploadWizard Extension: from * before 1.46.1, 1.45.5, 1.43.10."
2026-09-25T22:17:10.15Z,CVE-2026-100382,CRITICAL,10.0,Received,CWE-78,2,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') vulnerability in Wikimedia Foundation Mediawiki - ExternalData Extension allows OS Command Injection. This issue affects Mediawiki - ExternalData Extension: from * before 3.7.
2026-09-25T22:17:10.303Z,CVE-2026-100383,MEDIUM,4.8,Received,CWE-79,2,Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerability in Wikimedia Foundation Mediawiki - WikiLambda Extension allows Cross-Site Scripting (XSS). This issue affects Mediawiki - WikiLambda Extension: 1.47.0-alpha. The issue has been remediated on t…
2026-09-25T22:17:10.447Z,CVE-2026-100418,MEDIUM,6.9,Received,CWE-200,6,Flame through 2.4.0 contains an information exposure vulnerability in the unauthenticated GET /api/config endpoint that returns the entire configuration object without field redaction. Attackers can retrieve the stored weather API key and internal operational settings by sending a single unauthenti…
2026-09-25T22:17:10.613Z,CVE-2026-100419,HIGH,7.3,Deferred,CWE-59,6,"gitoxide gix-fs before 0.23.0 contains a path validation bypass vulnerability in the worktree checkout mechanism that allows attackers to escape the worktree directory via symlink manipulation. During forced checkout with overwrite_existing enabled, attackers can craft malicious repository trees wh…"
2026-09-25T22:17:10.793Z,CVE-2026-100501,HIGH,8.3,Received,CWE-307,6,"Flame through 2.4.0 contains an improper restriction of excessive authentication attempts vulnerability in the POST /api/auth login endpoint that allows unauthenticated attackers to brute-force the admin password. Attackers can submit unlimited password guesses without rate limiting, attempt counte…"
2026-09-25T22:17:10.947Z,CVE-2026-100502,MEDIUM,5.9,Received,CWE-613,6,Flame through 2.4.0 contains an insufficient session expiration vulnerability in the login endpoint that allows attackers with former admin access to obtain tokens with arbitrary lifespans by supplying unvalidated duration parameters. Attackers can mint near-permanent administrator tokens that surv…
2026-09-25T22:17:11.103Z,CVE-2026-45234,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T22:17:11.17Z,CVE-2026-45235,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T22:17:11.227Z,CVE-2026-45236,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T22:17:11.29Z,CVE-2026-45237,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T22:17:11.35Z,CVE-2026-45238,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T22:17:11.407Z,CVE-2026-45239,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T22:17:11.47Z,CVE-2026-45240,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T22:17:11.52Z,CVE-2026-45241,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T22:17:11.657Z,CVE-2026-49117,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T22:17:11.72Z,CVE-2026-49118,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T22:17:11.897Z,CVE-2026-53971,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T22:17:11.957Z,CVE-2026-53972,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
