published_at,cve,severity,score,status,cwe,references,description
2026-09-24T20:17:29.117Z,CVE-2026-48540,MEDIUM,5.1,Received,CWE-79,3,Krayin CRM through 2.2.6 contains a stored client-side template injection vulnerability that allows authenticated attackers to execute arbitrary JavaScript in other users' browsers by injecting Vue.js template expressions into the lead title field. Attackers can craft a lead title containing double…
2026-09-24T20:17:29.287Z,CVE-2026-48541,MEDIUM,5.1,Received,CWE-79,2,Krayin CRM through 2.2.6 contains a stored client-side template injection vulnerability that allows authenticated attackers to execute arbitrary JavaScript in other users' browsers by injecting Vue.js template expressions into the person name field. Attackers can craft a person name containing doub…
2026-09-24T20:17:29.433Z,CVE-2026-48542,MEDIUM,5.1,Received,CWE-79,2,Krayin CRM through 2.2.6 contains a stored client-side template injection vulnerability that allows authenticated attackers to execute arbitrary JavaScript in other users' browsers by injecting Vue.js template expressions into the product name field. Attackers can craft a product name containing do…
2026-09-24T20:17:29.573Z,CVE-2026-48543,MEDIUM,5.1,Received,CWE-79,2,Krayin CRM through 2.2.6 contains a stored client-side template injection vulnerability that allows authenticated attackers to execute arbitrary JavaScript in other users' browsers by injecting Vue.js template expressions into the web form description field. Attackers can craft a web form descripti…
2026-09-24T20:17:30.227Z,CVE-2026-77967,HIGH,8.6,Received,CWE-294,3,The Botslab G980H dash camera firmware accepts a reusable authentication value without adequately verifying its freshness or association with the requesting client. An unauthenticated attacker with adjacent network access who captures a valid authentication value could replay it from another client…
2026-09-24T20:17:32.103Z,CVE-2026-82164,HIGH,7.1,Received,CWE-732,1,"Dell Trusted Device Client, versions prior to 8.1.359.0, contain an Incorrect Permission Assignment for Critical Resource vulnerability. A low privileged attacker with local access could potentially exploit this vulnerability, leading to Information tampering."
2026-09-24T20:17:32.353Z,CVE-2026-82372,HIGH,8.5,Received,CWE-532,1,"Improper handling of sensitive data during IPsec policy creation and modification in Brocade SANnav versions before 3.0.1a results in pre-shared keys being recorded in application logs. Individuals with read access to system log files or support bundles can view these credentials, leading to the po…"
2026-09-24T20:17:32.503Z,CVE-2026-82566,HIGH,8.7,Received,CWE-613,3,"The Botslab G980H dash camera firmware contains a session management vulnerability in which authentication state can remain valid after the associated client connection has been terminated or replaced. Under certain connection conditions, a newly established connection can displace an existing clie…"
2026-09-24T20:17:32.673Z,CVE-2026-84399,HIGH,8.7,Received,CWE-863,2,"The Botslab G980H dash camera firmware contains an authorization vulnerability in its session based command functionality. The product does not sufficiently associate an authenticated session with the client connection that established it, and subsequent privileged operations rely on possession of…"
2026-09-24T20:17:32.89Z,CVE-2026-85496,HIGH,7.7,Received,CWE-340,3,The Botslab G980H dash camera firmware generates session identifiers using a small sequential value space rather than a suitably unpredictable source. An unauthenticated attacker with adjacent network access and knowledge that an active session exists could potentially determine a valid session ide…
2026-09-24T20:17:33.643Z,CVE-2026-88761,MEDIUM,6.0,Received,CWE-1391,3,"The Botslab G980H dash camera firmware generates the default WiFi password using predictable device information, portions of which are advertised by the product. An unauthenticated attacker within WiFi range could potentially determine the remaining password characters through limited guessing and…"
2026-09-24T20:17:33.793Z,CVE-2026-88956,HIGH,7.0,Received,CWE-306,3,"The Botslab G980H dash camera firmware contains an authentication vulnerability in the root account exposed through the device's UART interface. The affected account does not require a password before granting access to a privileged system interface, and the interface also displays the device's WiF…"
2026-09-24T20:17:34.137Z,CVE-2026-93289,CRITICAL,9.0,Received,CWE-78,1,The affected products are vulnerable to command injection attack that could allow an unauthenticated attacker to execute system commands during the pairing process.
2026-09-24T20:17:34.307Z,CVE-2026-93290,MEDIUM,6.8,Received,CWE-798,1,Omni C20 uses hard-coded credentials that could allow an attacker to monitor log files to obtain credentials to access information like mapping data.
2026-09-24T20:17:34.463Z,CVE-2026-93291,CRITICAL,9.3,Received,CWE-295,1,Omni C20 lacks proper certificate validation which could allow an attacker to perform a man-in-the-middle attack which could allow them to execute arbitrary code.
2026-09-24T20:17:34.613Z,CVE-2026-93354,HIGH,8.5,Received,CWE-1188,2,"Taskview Community before 1.56.0 contains a missing authentication vulnerability that allows unauthenticated attackers to register arbitrary OAuth clients and take over user accounts by exploiting the OAuth 2.0 Dynamic Client Registration endpoint, which is enabled by default and requires no authen…"
2026-09-24T20:17:35.24Z,CVE-2026-96883,HIGH,8.7,Received,CWE-843,3,pgcollection is an open source extension to PostgreSQL. A type confusion issue in AWS pgcollection 2.0.0 through 2.1.1 might allow an authenticated remote user to execute arbitrary code as the postgres operating system user via crafted SQL statements that rely on mismatched type metadata in collect…
2026-09-24T20:17:35.553Z,CVE-2026-97324,MEDIUM,5.5,Received,CWE-266; CWE-285,4,A vulnerability was identified in YunaiV/zhijiantianya ruoyi-vue-pro up to 2026.08. Affected is the function updateDemoOrderPaid of the file yudao-module-pay/src/main/java/cn/iocoder/yudao/module/pay/controller/admin/demo/PayDemoOrderController.java of the component Demo-order Payment Callback Hand…
2026-09-24T20:17:35.73Z,CVE-2026-97325,LOW,2.1,Received,CWE-601,4,A security flaw has been discovered in YunaiV/zhijiantianya ruoyi-vue-pro up to 2026.08. Affected by this vulnerability is the function validOAuthClientFromCache of the file yudao-module-system/src/main/java/cn/iocoder/yudao/module/system/service/oauth2/OAuth2ClientServiceImpl.java of the component…
2026-09-24T20:17:35.907Z,CVE-2026-97326,MEDIUM,5.5,Received,CWE-918,5,A weakness has been identified in songxinjianqwe Chat up to ac63d25297079eed5e4ba7e88d3b7a032637150d. Affected by this issue is some unknown functionality of the file chat-server/src/main/java/cn/sinjinsong/chat/server/ChatServer.java of the component chat-server. This manipulation causes server-si…
2026-09-24T20:17:36.093Z,CVE-2026-97365,LOW,2.1,Received,CWE-22,6,A vulnerability was determined in chonkie-inc littrs 0.6.1/0.6.2. Impacted is the function Sandbox::mount of the file crates/littrs/src/lib.rs. Executing a manipulation of the argument relative can lead to path traversal. The attack may be performed from remote. The exploit has been publicly disclo…
