published_at,cve,severity,score,status,cwe,references,description
2026-09-25T16:17:24.657Z,CVE-2026-100230,MEDIUM,5.3,Received,CWE-180,10,"Input Leap (aka input-leap) through 3.0.3, when the non-default --enable-drag-drop option is used on Windows or macOS, mishandles the / versus \ distinction and allows directory traversal, with resultant code execution if a file is written to a startup directory. This occurs via a DDRG message."
2026-09-25T16:17:24.867Z,CVE-2026-33639,HIGH,7.2,Received,CWE-89,7,"InvoicePlane is a self-hosted open source application for managing invoices, clients, and payments. Prior to 1.7.2, InvoicePlane interpolates the administrator-controlled tax_rate_decimal_places setting into an ALTER TABLE statement for ip_tax_rates in Settings::index() without strict integer valid…"
2026-09-25T16:17:25.053Z,CVE-2026-39353,CRITICAL,9.1,Received,CWE-98; CWE-693; CWE-732,4,"InvoicePlane is a self-hosted open source application for managing invoices, clients, and payments. Prior to 1.7.2-rc-1, InvoicePlane builds its permitted template list by scanning a PHP template directory that can be written through an administrator-controlled file-write capability. A malicious PH…"
2026-09-25T16:17:25.243Z,CVE-2026-39372,MEDIUM,4.9,Received,CWE-200; CWE-359,4,"InvoicePlane is a self-hosted open source application for managing invoices, clients, and payments. Prior to 1.7.2, InvoicePlane stores and serves uploaded image attachments without stripping EXIF metadata. When an administrator uploads an image through invoice attachments, quote attachments, or an…"
2026-09-25T16:17:25.42Z,CVE-2026-42322,CRITICAL,9.1,Deferred,CWE-434,4,"Piwigo is a full featured open source photo gallery application for the web. Prior to 16.4.0, admin/themes_standard_pages.php validates uploaded logo content by MIME type but reuses the attacker-controlled extension from std_pgs_logo when constructing the stored filename. An authenticated administr…"
2026-09-25T16:17:25.607Z,CVE-2026-42323,HIGH,7.2,Deferred,CWE-89,4,"Piwigo is a full featured open source photo gallery application for the web. Prior to 16.4.0, admin/batch_manager.php accepts administrator-controlled dimension width, height, and ratio values and filesize values from the Batch Manager filter URL without numeric validation. The URL filter parser st…"
2026-09-25T16:17:25.793Z,CVE-2026-42324,HIGH,7.2,Deferred,CWE-89,4,"Piwigo is a full featured open source photo gallery application for the web. Prior to 16.4.0, admin/element_set_ranks.php stores administrator-controlled image_order[] values without enforcing the existing sort-field whitelist. The stored album image_order expression is later concatenated into ORDE…"
2026-09-25T16:17:25.97Z,CVE-2026-44642,HIGH,8.1,Deferred,CWE-89,4,"Piwigo is a full featured open source photo gallery application for the web. Prior to 16.4.0, check_upgrade_access_rights() in admin/include/functions_upgrade.php conditionally escapes the submitted username only when the removed get_magic_quotes_gpc function exists, so PHP 8 and later concatenate…"
2026-09-25T16:17:26.14Z,CVE-2026-49850,HIGH,7.5,Received,CWE-22; CWE-98,3,"InvoicePlane is a self-hosted open source application for managing invoices, clients, and payments. Prior to 1.7.2, InvoicePlane exposes Invoices::delete() and Invoices::delete_invoice_tax() as state-changing routes without requiring POST and validating a CSRF token. When an authenticated administr…"
2026-09-25T16:17:26.3Z,CVE-2026-50547,HIGH,7.5,Received,CWE-22; CWE-98,4,"InvoicePlane is a self-hosted open source application for managing invoices, clients, and payments. Prior to 1.7.2, InvoicePlane's Invoices::generate_xml() method appends a database-derived xml_id to the XMLconfigs helper directory and includes the resulting PHP path without validating the identifi…"
