published_at,cve,severity,score,status,cwe,references,description
2026-09-24T15:17:18.35Z,CVE-2026-12559,HIGH,7.3,Received,CWE-79,2,"A Stored Cross-Site Scripting (XSS) vulnerability has been identified in OpenText Vendor Invoice Management for SAP Solutions Capture Validation application. Under certain conditions, this issue could allow execution of unauthorized script content in a user's browser, potentially impacting confiden…"
2026-09-24T15:17:19.117Z,CVE-2026-13465,HIGH,8.3,Received,CWE-121,1,Stack-based buffer overflow vulnerability in Altera Trusted Firmware on HPS allows Exploitation of Improperly Configured or Implemented Memory Protections. This issue affects Trusted Firmware: through socfpga_v2.14.0.
2026-09-24T15:17:19.28Z,CVE-2026-13466,HIGH,8.3,Received,CWE-131,1,Incorrect calculation of buffer size vulnerability in Altera Trusted Firmware on HPS allows Overflow Buffers. This issue affects Trusted Firmware: through socfpga_v2.14.0.
2026-09-24T15:17:19.423Z,CVE-2026-13467,HIGH,8.3,Received,CWE-787,1,Out-of-bounds write vulnerability in Altera Trusted Firmware on HPS allows Exploitation of Improperly Configured or Implemented Memory Protections. This issue affects Trusted Firmware: through socfpga_v2.14.0.
2026-09-24T15:17:20.27Z,CVE-2026-18870,MEDIUM,4.3,Received,CWE-125,1,"IBM PowerVM Hypervisor FW1120.00 through FW1120.01, FW1110.00 through FW1110.31, FW1060.00 through FW1060.81, and FW950.00 through FW950.H3 could allow a remote attacker to obtain sensitive information due to an out-of-bounds read."
2026-09-24T15:17:20.553Z,CVE-2026-19492,LOW,3.2,Received,CWE-457,1,"IBM PowerVM Hypervisor FW1120.00 through FW1120.01, FW1110.00 through FW1110.31, and FW1060.00 through FW1060.81 is affected by a vulnerability in a hypervisor call interface. An attacker with root access to a guest partition can read a limited amount of hypervisor memory, potentially exposing sens…"
2026-09-24T15:17:22.947Z,CVE-2026-51994,,,Received,,4,mcp-remote versions 0.1.32 through 0.1.38 are vulnerable to Server-Side Request Forgery (SSRF) via the resource_metadata URL extracted from a remote MCP server's WWW-Authenticate header
2026-09-24T15:17:23.087Z,CVE-2026-51995,HIGH,7.5,Received,CWE-200,4,"An issue in geelen mcp-remote 0.1.32 through 0.1.38 allows a remote attacker to obtain sensitive information via the src/lib/authorization-server-metadata.ts, src/lib/utils.ts components"
2026-09-24T15:17:23.28Z,CVE-2026-51996,,,Received,,3,An issue in geelen mcp-remote 0.1.16 through 0.1.38 allows a remote attacker to execute arbitrary code via the src/lib/utils.ts and the getServerUrlHash function
2026-09-24T15:17:23.397Z,CVE-2026-51997,,,Received,,3,An issue in geelen mcp-remote 0.1.16 through 0.1.38 allows a remote attacker to execute arbitrary code via the open() functions
2026-09-24T15:17:23.52Z,CVE-2026-52001,,,Received,,4,"An issue in geelen mcp-remote 0.1.18 through 0.1.38 allows a remote attacker to obtain sensitive information via the SSE transport eventSourceInit fetch wrapper "" src/lib/utils.ts"
2026-09-24T15:17:24.1Z,CVE-2026-56736,HIGH,8.2,Deferred,CWE-79,2,phpMyFAQ is an open source FAQ web application. A stored cross-site scripting (XSS) vulnerability in versions prior to 4.2.0-alpha allows any unauthenticated user (or low-privileged registered user) to inject arbitrary JavaScript that executes in an administrator's browser when they review or edit…
2026-09-24T15:17:24.61Z,CVE-2026-58004,HIGH,8.3,Received,CWE-125,1,Out-of-bounds read vulnerability in Altera Trusted Firmware on HPS allows Privilege Escalation and Overflow Buffers. This issue affects Trusted Firmware: through socfpga_v2.14.0.
2026-09-24T15:17:24.75Z,CVE-2026-58005,HIGH,8.3,Received,CWE-119,1,Out-of-bounds read vulnerability in Altera Trusted Firmware on HPS allows Privilege Escalation and Overflow Buffers. This issue affects Trusted Firmware: through socfpga_v2.14.0.
2026-09-24T15:17:24.89Z,CVE-2026-58006,HIGH,8.3,Received,CWE-822,1,Untrusted pointer dereference vulnerability in Altera Trusted Firmware on HPS allows Exploitation of Improperly Configured or Implemented Memory Protections. This issue affects Trusted Firmware: through socfpga_v2.14.0.
2026-09-24T15:17:25.027Z,CVE-2026-58007,HIGH,8.3,Received,CWE-822,1,Untrusted pointer dereference vulnerability in Altera Trusted Firmware on HPS allows Exploitation of Improperly Configured or Implemented Memory Protections. This issue affects Trusted Firmware: through socfpga_v2.14.0.
2026-09-24T15:17:25.163Z,CVE-2026-58008,HIGH,8.3,Received,CWE-121,1,Stack-based buffer overflow vulnerability in Altera Trusted Firmware on HPS allows Exploitation of Improperly Configured or Implemented Memory Protections. This issue affects Trusted Firmware: through socfpga_v2.14.0.
2026-09-24T15:17:27.96Z,CVE-2026-65422,MEDIUM,6.5,Received,CWE-862,1,A flaw in the authorization mechanism for Media Gateway API in Genetec Security Center may allow a user with no playback privileges to generate video thumbnails.
2026-09-24T15:17:30.89Z,CVE-2026-6544,MEDIUM,6.2,Received,CWE-552,1,IBM Concert 1.0.0 through 3.0.0 allows recursive copying of directories without proper controls which can lead to unintentional inclusion of sensitive or unnecessary files and increased attack surface.
2026-09-24T15:17:34.273Z,CVE-2026-73064,LOW,2.9,Received,CWE-394,2,"In Mbed TLS 3.2.0 though 3.6.6 and 4.0.0 through 4.1.0, an attacker who can cause an entropy source to fail can remove or inject bytes into the start of the TLS stream. This only affects TLS 1.3 servers."
2026-09-24T15:17:37.8Z,CVE-2026-77703,MEDIUM,5.9,Received,CWE-322,1,Key exchange without entity authentication vulnerability in HAVELSAN Inc. Liman Render Engine allows Adversary in the Middle (AiTM). This issue affects Liman Render Engine: from 1.0 before 1.2-75.
2026-09-24T15:17:37.947Z,CVE-2026-77707,MEDIUM,5.9,Received,CWE-295,1,Improper certificate validation vulnerability in HAVELSAN Inc. Liman Render Engine allows Adversary in the Middle (AiTM). This issue affects Liman Render Engine: from 1.0 before 1.2-75.
