published_at,cve,severity,score,status,cwe,references,description
2026-09-25T15:17:54.497Z,CVE-2026-60096,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T15:17:54.587Z,CVE-2026-60097,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T15:17:54.657Z,CVE-2026-60098,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T15:17:54.727Z,CVE-2026-60099,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T15:17:54.783Z,CVE-2026-60100,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T15:17:54.843Z,CVE-2026-60101,,,Rejected,,0,Rejected reason: This CVE ID has been rejected or withdrawn by its CVE Numbering Authority.
2026-09-25T15:17:56.11Z,CVE-2026-84862,HIGH,7.2,Received,CWE-502,1,IBM Guardium Data Protection 12.2 is vulnerable to insecure deserialization in the Quartz JDBC job store. An authenticated attacker could exploit this vulnerability to execute arbitrary code on the affected system.
2026-09-25T15:17:56.273Z,CVE-2026-84882,HIGH,7.5,Received,CWE-22,1,IBM Guardium Data Protection 12.2 is vulnerable to path traversal in the Universal Connector Oracle Wallet upload component. An authenticated remote attacker could exploit this vulnerability to write arbitrary files to the system.
2026-09-25T15:17:56.687Z,CVE-2026-88389,,,Received,,2,"Espruino 2v29 (commit bffc6d0) contains a NULL pointer dereference vulnerability in jslGetRawString() in src/jslex.c. Crafted raw/binary string input can cause the lexer to pass a NULL iterator target to jsvLockAgain(). In RELEASE/NO_ASSERT builds, the missing assertion guard allows a write through…"
2026-09-25T15:17:56.81Z,CVE-2026-93030,MEDIUM,6.5,Received,CWE-611,1,FTM 4.x ALL could allow a remote authenticated attacker to obtain sensitive information due to an XML external entity injection flaw.
2026-09-25T15:17:56.943Z,CVE-2026-93306,HIGH,7.1,Received,CWE-125,1,"IBM Server Firmware FW1120.00 through FW1120.01, FW1110.00 through FW1110.31, FW1060.00 through FW1060.81, and FW950.00 through FW950.H3 is affected by a vulnerability in the ASMI web interface. An unauthenticated attacker on the management network can send a malformed HTTPS request to ASMI, causin…"
2026-09-25T15:17:57.097Z,CVE-2026-96812,HIGH,8.8,Received,CWE-269; CWE-668,1,Improper Exposure of Resource to Wrong Sphere in the host file helper (gofer) in Google gVisor prior to commit 573a9e73cf844f on Linux platforms with CUSE enabled allows a local attacker with container image deployment privileges to achieve root code execution on the host system. By including a /de…
2026-09-25T15:18:01.78Z,CVE-2026-97866,LOW,2.9,Received,CWE-300,6,A weakness has been identified in Zhonglun CloudPOS 3.0. Affected by this vulnerability is an unknown functionality of the file Program.cs of the component Automatic Update. Executing a manipulation of the argument version/url/packagekey/package name can lead to channel accessible by non-endpoint.…
